"species","SVL_cm","TL_cm","Ventrals","Subcaudals","Head._Length_mm","Head_Width_mm","Body_Width_mm","N_scales_bordering_L_parietals","N_scales_bordering_R_parietals","White_Ventral_Annuli_Bordering_Ventral_Black","Ventral_Annuli_In_BlackBand","X.Dorsal_Annuli_OR_juvenile_dorsal_black_bands","Ventral_Black_Bands","Ventral_Lower_Lower_ScCount","Ventral_Black_Upper_ScCount","Ventral_Orange_Lower_ScCount","Ventral_Orange_Upper_ScCount","Temporal_Pigmentation","Annulus.on.dorsal.black.tail.bands","Upper.temporal.divided"
"cf_mcclungi",3.84972197923077,0.76080582903376,5.4380793089232,2.94443897916644,2.4932054526027,2.01356879752913,2.32565036559931,1.09861228866811,1.38629436111989,0.693147180559945,1.38629436111989,3.95124371858143,3.3322045101752,1.09861228866811,1.38629436111989,1.6094379124341,1.79175946922805,1.09861228866811,1.38629436111989,0.693147180559945
"calligaster",3.78509831185448,1.10856261952128,5.47646355193151,2.83321334405622,2.45958884180371,1.94591014905531,2.15986879079245,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,4.35670882668959,3.71357206670431,0,0.693147180559945,1.38629436111989,1.38629436111989,1.09861228866811,0.693147180559945,0.693147180559945
"calligaster",3.8177123259569,0.8754687373539,5.52146091786225,2.83321334405622,2.39789527279837,1.79175946922805,1.95160817016995,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,4.02535169073515,3.36729582998647,0.693147180559945,1.09861228866811,1.6094379124341,1.79175946922805,1.09861228866811,0.693147180559945,0.693147180559945
"gemianulis",3.74123468444786,1.06471073699243,5.31320597904179,2.99573227355399,2.50470927708418,2.01623546577604,2.10006082892339,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,4.27666611901606,3.25809653802148,1.38629436111989,1.6094379124341,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.9759363311718,1.10922246778013,5.39816270151775,2.89037175789616,2.35707327827812,2.22570404865809,2.29488888632598,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.34380542185368,3.3322045101752,1.09861228866811,1.38629436111989,1.38629436111989,1.6094379124341,0.693147180559945,1.09861228866811,1.6094379124341
"gemianulis",4.07584109065754,1.53686721959926,5.30330490805908,3.09104245335832,2.4748563139345,2.2690283094652,2.56212485924241,1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,4.29045944114839,3.25809653802148,1.6094379124341,1.79175946922805,1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.68887945411394,1.08180517035173,5.30826769740121,2.83321334405622,2.18492704952581,2.00012773496011,2.34404688248185,1.38629436111989,1.38629436111989,0.693147180559945,1.09861228866811,4.06044301054642,3.04452243772342,1.09861228866811,1.38629436111989,1.79175946922805,1.94591014905531,0.693147180559945,1.09861228866811,0.693147180559945
"gemianulis",3.83622129201186,1.11514159061932,5.39816270151775,2.89037175789616,2.66025953726586,2.1938856760707,2.52252351335931,1.6094379124341,1.6094379124341,0.693147180559945,1.09861228866811,4.40671924726425,3.36729582998647,1.09861228866811,1.6094379124341,1.09861228866811,1.6094379124341,0.693147180559945,1.09861228866811,1.09861228866811
"gemianulis",3.94158180766969,1.11645220679644,5.28826703069454,2.94443897916644,2.484906649788,2.10413415427021,2.28136145654242,1.09861228866811,1.38629436111989,0.693147180559945,1.09861228866811,4.07753744390572,3.04452243772342,1.38629436111989,1.79175946922805,1.38629436111989,1.79175946922805,0.693147180559945,1.09861228866811,0.693147180559945
"calligaster",3.79997350161952,0.836814530372358,5.54907608489522,2.77258872223978,2.31154483436552,1.64480505627139,1.80828877117927,1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,3.95124371858143,3.25809653802148,0.693147180559945,0.693147180559945,1.79175946922805,1.94591014905531,1.09861228866811,0.693147180559945,0.693147180559945
