"","V1","V2","V3","V4"
"1",-0.0317818954462763,-0.01479228623109,-0.00450377745917565,-0.0126102197335028
"2",-0.0914640035292785,-0.134006338468613,-0.0171000299675255,0.0495381021902219
"3",-0.142280811299594,-0.0719709198751781,0.0572209863683929,0.0156369296831023
"4",0.127901174602664,-0.0561554500342712,-0.0185753332805763,0.0153815343179749
"5",0.116318613093879,-0.125552537294404,0.0364187729006146,-0.0987547260880327
"6",0.212966777893551,-0.0974066694103604,-0.0231850022753572,0.0813096338053379
"7",0.0631148337983445,-0.0524229442849727,-0.0272819788429616,-0.0131835715504591
"8",0.164193441260842,-0.145067313023669,0.0478934999794004,-0.0752610120134155
"9",0.125573982937635,-0.030635914070335,-0.00352236629438343,0.0556937248523749
"10",-0.175866887435781,-0.0498299630841478,-0.0322330672503725,0.0335575428861014
"11",-0.135541376524486,0.0557392510964516,-0.0895035803530085,0.0487643978483537
"12",-0.177278482894726,-0.0227292240334093,-0.0365368385948584,0.0561070163594138
"13",-0.213010465365684,-0.0481798368292704,-0.0669250056438858,0.0443775533340063
"14",-0.150118314106967,-0.0112629760833772,0.0528759862870295,0.0788142720459668
"15",-0.0529382043078018,-0.0323026099755417,0.0311155401601591,0.0412224188754165
"16",-0.0605274641346039,0.047843821933987,-0.0326867018373882,-0.116874985614059
"17",-0.104463063902805,-0.0563492848971883,0.0319573092996025,-0.0599746543759766
"18",-0.11041278439521,-0.0236309543664301,0.00514940778269467,0.0442803667952079
"19",-0.120946081754985,0.0600838370594874,-0.0853712938656101,-0.130249238327627
"20",-0.0526074115371365,-0.0357299336761227,0.0345577539298837,0.0392918003536111
"21",-0.098428805293259,0.227005817147431,0.0127072857463221,0.0159430795575944
"22",0.111732257808349,-0.105793116786971,-0.0780621243849301,0.0187575617950839
"23",0.104440726884007,-0.04310355020052,-0.0548037726969687,0.0405680527480344
"24",0.114630615440246,-0.102812853138369,0.0297960756513655,-0.0250981202975536
"25",0.0411895577367564,-0.109686711637352,-0.0814495100224383,0.0126946542107794
"26",0.139372614780547,-0.0734296748116502,-0.0355148320843952,-0.0217972851675948
"27",0.0496301716464967,-0.12023804175156,-0.0825008234862359,-0.0253544567652159
"28",0.131962912697978,-0.0793453514646789,-0.0380316783490827,0.0324185116952541
"29",0.145388150666696,-0.073033647296902,-0.00609791538401241,0.0168380257897279
"30",0.153083521365169,-0.0807190152808504,0.00941166615711695,0.0138906140988157
"31",0.163658994754189,-0.056128193430672,0.0148387915601282,0.0192486760523551
"32",0.175740848425206,-0.0558093486949059,-0.0857838741876635,0.0421188688581065
"33",0.12237485341006,0.121760578557473,0.00097272274660589,-0.048284135079714
"34",0.0736237526911544,0.0839667108481034,-0.0485531067029786,0.0145956622118064
"35",0.00249360897836839,-0.0197754720727234,0.0482286055547173,-0.107557855825126
"36",-0.142542790924186,-0.0485042965470844,-0.0338625967939721,0.0148910239201623
"37",0.0730675073768831,0.175692122337502,-0.0324293799159642,-0.0130337963396089
"38",0.0493948373505466,0.0480553047725183,-0.0484923320482974,0.0243628327580651
"39",0.0433744728968884,0.148914450401802,-0.0715683185072156,0.0763860402749566
"40",0.100479923822077,0.101136265503721,-0.000714070686708268,0.0697750371130967
"41",-0.0952740954502994,-0.0660872914477608,0.126446793614822,-0.0540390414199286
"42",-0.0505155599804857,-0.075369129972724,0.0758461146363705,0.00425793373253053
"43",-0.120209368195725,-0.0447370116499312,-0.0158143141966449,0.0297906053681652
"44",0.0338197218424587,0.0770984511193822,0.103200615376458,0.00179765833191529
"45",0.0990417281953287,0.127793360254738,0.123679515912894,-0.0922330551835997
"46",-0.119684547685712,-0.0715730663712476,0.0207744501212304,0.0454403004581394
"47",0.0800645693826777,0.158117147426932,0.0509844777747303,0.0495178706508434
"48",0.0730615632730644,0.179736841103952,0.061438231488009,-0.0858729140225203
"49",0.0661969959507812,0.126650018627154,-0.0732567327805581,0.0507364629417555
"50",-0.0171808585429629,0.0929155121090836,-0.0623408262353265,0.0309668662125456
"51",0.00731394089500904,0.0305441705825174,0.0341077861354717,-0.00845106381669908
"52",0.0300771355524473,0.0919467294435769,0.0190218611785922,-0.0371483758633339
"53",0.181104379244624,0.154261866190829,0.184970234015957,0.152371965587728
"54",-0.0764616209655485,0.0389133806654468,-0.0948501121917813,-0.0757377825245113
"55",-0.077452674798597,0.0586246032745273,-0.104210237680961,-0.0289041424184682
"56",-0.136410015620378,-0.0686960153721154,0.0326813813003452,0.0275596733913715
"57",-0.084262114072302,0.0254977106975146,-0.0460126318849763,-0.0901474698770934
"58",-0.0994032076145992,-0.0493188269970055,0.0478231485171853,-0.0746162095745303
"59",-0.151949338144201,0.00335595107000462,-0.0748661370409021,0.0265351898283001
"60",-0.0482722071189949,0.0358856840887516,-0.0365729537510794,-0.0244642743759137
"61",0.0352723320311091,0.137994015889752,0.0489210344683084,-0.0331529102106419
"62",0.0610627255692787,0.0882200324979405,0.0272358844850878,0.0065111848712306
"63",-0.0226788038973659,0.0965660140954245,-0.0896686418190813,-0.0323621492585811
"64",0.100783139208318,0.0700067297722251,0.0861951852130397,-0.022204184877306
"65",-0.00913795277147365,0.0170624309976963,-0.0501153675859721,-0.133785442168847
"66",-0.107810732366442,-0.0680240041032405,0.0211251722462053,0.0210522365606128
"67",0.0956687720128427,-0.138675430869821,-0.0285798492100832,-0.0769134122870176
"68",-0.0270208405499389,0.0696741694846412,-0.0215086154885947,0.0321429486462789
"69",-0.226937501315232,-0.0800858171459358,0.21676572527,0.0154253058070099
